Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_phenotype,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR5217323,ChIP-Seq,102,3453572610,PRJNA322858,SAMN06279639,1212817857,CD8+ CD45.2+,GEO,H3K4Me3,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2527472,Runx3-/-,GSM2471911,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471911,CD8 T cells,SRP075710,effector CD8 T cells
SRR3586800,ChIP-Seq,50,861879250,PRJNA322858,SAMN05176277,310433511,CD8+ CD45.2+,GEO,H3K4Me1,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1799805,wild type,GSM2177012,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2177012,CD8 T cells,SRP075710,effector CD8 T cells
SRR3586801,ChIP-Seq,50,946768350,PRJNA322858,SAMN05176278,351859919,CD8+ CD45.2+,GEO,H3K4Me3,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1799806,wild type,GSM2177013,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2177013,CD8 T cells,SRP075710,effector CD8 T cells
SRR3586802,ChIP-Seq,50,978345650,PRJNA322858,SAMN05176279,357305354,CD8+ CD45.2+,GEO,H3K27Me3,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1799807,wild type,GSM2177014,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2177014,CD8 T cells,SRP075710,effector CD8 T cells
SRR3586803,ChIP-Seq,50,676250000,PRJNA322858,SAMN05176280,244798857,CD8+ CD45.2+,GEO,H3K27Ac,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1799808,wild type,GSM2177015,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2177015,CD8 T cells,SRP075710,effector CD8 T cells
SRR3586804,ChIP-Seq,50,645946100,PRJNA322858,SAMN05176281,231509466,CD8+ CD45.2+,GEO,None,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1799809,wild type,GSM2177016,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2177016,CD8 T cells,SRP075710,effector CD8 T cells
SRR5217324,ChIP-Seq,102,3460741578,PRJNA322858,SAMN06279645,1196094220,CD8+ CD45.2+,GEO,H3K27Me3,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2527473,Runx3-/-,GSM2471912,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471912,CD8 T cells,SRP075710,effector CD8 T cells
SRR5217322,ChIP-Seq,102,2944090668,PRJNA322858,SAMN06279646,1013095112,CD8+ CD45.2+,GEO,H3K4Me1,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2527471,Runx3-/-,GSM2471910,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471910,CD8 T cells,SRP075710,effector CD8 T cells
SRR5217325,ChIP-Seq,102,2987580714,PRJNA322858,SAMN06279644,1052378303,CD8+ CD45.2+,GEO,H3K27Ac,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2527474,Runx3-/-,GSM2471913,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471913,CD8 T cells,SRP075710,effector CD8 T cells
SRR5217326,ChIP-Seq,102,2526270924,PRJNA322858,SAMN06279643,858810132,CD8+ CD45.2+,GEO,None,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2527475,Runx3-/-,GSM2471914,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471914,CD8 T cells,SRP075710,effector CD8 T cells
SRR5217327,ChIP-Seq,151,14963815516,PRJNA322858,SAMN06279642,5909928021,"CD8+, CD62L high, CD44 low to medium",GEO,CBFß,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2527476,wild type,GSM2471915,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471915,CD8 T cells,SRP075710,WT naïve CD8 T Cells
SRR5217328,ChIP-Seq,51,2033784171,PRJNA322858,SAMN06279641,1111791798,"CD8+, CD62L high, CD44 low to medium",GEO,CBFß,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2527477,Cbfb-/-,GSM2471916,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471916,CD8 T cells,SRP075710,Cbfb-/- naïve CD8 T Cells
SRR5217329,ChIP-Seq,51,1988259276,PRJNA322858,SAMN06279640,1083995036,"CD8+, KLRG1 high, IL-7Ra low.",GEO,CBFß,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2527478,wild type,GSM2471917,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2017-05-16T00:00:00Z,GSM2471917,CD8 T cells,SRP075710,effector CD8 T cells
