ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-2262752,Cellular responses to stress,265/3321,431/8828,7.119349026295456e-25,7.468197128583933e-22,4.384020189876676e-22,108664/21749/67923/26921/22145/70247/17164/17248/338375/108989/11758/15078/17684/26408/140742/66403/19386/52717/56371/50493/17246/103468/15364/270802/56351/77605/78294/103554/17168/26420/216742/26397/22187/216850/50932/19069/68275/22627/52615/69077/68097/22123/56354/217232/66997/445007/15081/30951/12418/18453/66156/26443/19167/15251/15512/14281/19179/13424/15519/19166/319185/319191/319152/319186/319159/319160/319169/319187/56702/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/319182/260423/319157/14957/319151/319181/319180/319165/319149/319156/319179/50709/319164/319155/50708/319148/319178/319172/319150/326620/326619/360198/80838/218210/66413/12325/67089/19173/71844/219158/15499/56551/14958/66538/56438/328572/18141/22143/22146/170644/26413/15260/56637/11964/110920/23872/19170/67673/11984/56716/268933/11974/15361/111241/14229/26416/12575/19763/16912/16913/110147/66237/15516/13819/71745/73677/52563/15526/16906/67665/72124/81601/54683/319594/227613/227720/14828/66998/19177/59029/69482/19182/17222/228769/66679/26444/665113/241915/12428/18415/83409/319176/319190/97114/15267/15077/97122/319154/68576/108058/66105/51788/56692/27354/242341/15502/53598/269523/22166/68441/16476/72787/18477/54170/26445/19646/20111/12345/19181/231042/19744/23950/52206/269113/75560/56455/17165/56317/59008/67151/22190/66096/15505/252875/101148/101185/66144/14056/13191/54563/11973/101142/14228/12576/320332/232440/112406/23996/57296/66411/12447/67605/67669/13626/75430/66508/26440/29810/26400/69957/14782/22428/22186/81489/21672/56445/71805/234663/17463/13057/234865/17535/23871/15481/15270/11920/58233/13627/102626/14775/29806/11835,265
R-MMU-8953897,Cellular responses to external stimuli,265/3321,433/8828,1.933383451133712e-24,1.014059620119632e-21,5.952785889016955e-22,108664/21749/67923/26921/22145/70247/17164/17248/338375/108989/11758/15078/17684/26408/140742/66403/19386/52717/56371/50493/17246/103468/15364/270802/56351/77605/78294/103554/17168/26420/216742/26397/22187/216850/50932/19069/68275/22627/52615/69077/68097/22123/56354/217232/66997/445007/15081/30951/12418/18453/66156/26443/19167/15251/15512/14281/19179/13424/15519/19166/319185/319191/319152/319186/319159/319160/319169/319187/56702/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/319182/260423/319157/14957/319151/319181/319180/319165/319149/319156/319179/50709/319164/319155/50708/319148/319178/319172/319150/326620/326619/360198/80838/218210/66413/12325/67089/19173/71844/219158/15499/56551/14958/66538/56438/328572/18141/22143/22146/170644/26413/15260/56637/11964/110920/23872/19170/67673/11984/56716/268933/11974/15361/111241/14229/26416/12575/19763/16912/16913/110147/66237/15516/13819/71745/73677/52563/15526/16906/67665/72124/81601/54683/319594/227613/227720/14828/66998/19177/59029/69482/19182/17222/228769/66679/26444/665113/241915/12428/18415/83409/319176/319190/97114/15267/15077/97122/319154/68576/108058/66105/51788/56692/27354/242341/15502/53598/269523/22166/68441/16476/72787/18477/54170/26445/19646/20111/12345/19181/231042/19744/23950/52206/269113/75560/56455/17165/56317/59008/67151/22190/66096/15505/252875/101148/101185/66144/14056/13191/54563/11973/101142/14228/12576/320332/232440/112406/23996/57296/66411/12447/67605/67669/13626/75430/66508/26440/29810/26400/69957/14782/22428/22186/81489/21672/56445/71805/234663/17463/13057/234865/17535/23871/15481/15270/11920/58233/13627/102626/14775/29806/11835,265
R-MMU-3247509,Chromatin modifying enzymes,130/3321,179/8828,8.026673135442539e-22,2.1049950297698058e-19,1.2356852063773383e-19,17978/226976/66262/213464/75605/71371/208266/76901/216850/52615/217127/74026/57376/76719/83796/107817/13435/17977/52690/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319158/319167/319183/69386/319173/319182/260423/319157/319151/319181/319180/319165/319149/319156/319179/319164/319155/319148/319178/319172/319150/326620/326619/360198/18676/54169/27374/77044/69612/51812/83797/93871/239985/110147/193796/66310/225888/225876/19697/67155/64707/140858/107435/11909/228829/56456/269424/73251/621893/319176/319190/97114/15267/15077/97122/319154/319189/99890/18033/76804/70088/19646/93760/99982/18600/69188/30841/208043/338523/14056/104263/78783/214899/28019/54343/320332/232440/11569/13626/233904/234135/23808/244694/20586/214162/77853/20588/235626/22289/15161/108155/320595/20591/17692/20592,130
R-MMU-4839726,Chromatin organization,130/3321,179/8828,8.026673135442539e-22,2.1049950297698058e-19,1.2356852063773383e-19,17978/226976/66262/213464/75605/71371/208266/76901/216850/52615/217127/74026/57376/76719/83796/107817/13435/17977/52690/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319158/319167/319183/69386/319173/319182/260423/319157/319151/319181/319180/319165/319149/319156/319179/319164/319155/319148/319178/319172/319150/326620/326619/360198/18676/54169/27374/77044/69612/51812/83797/93871/239985/110147/193796/66310/225888/225876/19697/67155/64707/140858/107435/11909/228829/56456/269424/73251/621893/319176/319190/97114/15267/15077/97122/319154/319189/99890/18033/76804/70088/19646/93760/99982/18600/69188/30841/208043/338523/14056/104263/78783/214899/28019/54343/320332/232440/11569/13626/233904/234135/23808/244694/20586/214162/77853/20588/235626/22289/15161/108155/320595/20591/17692/20592,130
R-MMU-2559583,Cellular Senescence,124/3321,169/8828,1.6556791208105965e-21,3.4736147954606315e-19,2.0390995487877875e-19,21749/26921/17164/17248/15078/26408/66403/52717/56371/17246/15364/77605/78294/26420/26397/22187/216850/50932/52615/217232/15081/30951/12418/66156/14281/319185/319191/319152/319186/319159/319160/319169/319187/56702/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/319182/260423/319157/14957/319151/319181/319180/319165/319149/319156/319179/50709/319164/319155/50708/319148/319178/319172/319150/326620/326619/360198/80838/14958/170644/26413/15260/23872/15361/111241/26416/12575/19763/110147/52563/16906/81601/17222/665113/241915/12428/319176/319190/97114/15267/15077/97122/319154/51788/27354/22166/16476/19646/20111/52206/75560/17165/56317/59008/22190/101185/14056/12576/320332/232440/12447/13626/75430/26400/69957/22186/17535/23871/15270/11920/102626,124
R-MMU-72766,Translation,152/3321,223/8828,8.013111172629452e-21,1.4009589366813827e-18,8.223982519277596e-19,27395/19989/107734/114641/69163/27058/108853/20054/13629/27370/78294/13681/57837/64656/94064/107732/65019/19921/19942/67671/68572/60441/217337/56282/20115/24067/665155/20090/13665/217869/94066/66475/320806/218506/66128/59054/66480/66242/20088/69089/68836/67281/19946/18458/16341/68135/66656/26961/55944/27367/75705/224045/208643/13682/57808/68193/27393/67768/121022/67681/79044/67097/54127/20084/68565/27398/225363/20044/66419/67160/94063/13669/107733/118451/67871/98221/78655/100042807/67204/68028/28030/20091/65111/100043813/68436/74776/13684/67427/20104/56280/108067/20116/66407/67025/19934/66448/66077/13667/20005/66661/94061/100503670/11837/19988/209354/22384/27979/14548/66223/56284/68499/19951/66493/232536/76846/19943/20103/20085/20055/24030/22121/19899/67308/20068/27050/52443/27397/66085/26451/68052/267019/67186/19935/57312/22186/76808/270106/53356/66163/56040/67891/67941/13627/64655/94062/19944/16785/67248/110954/26905/20102/19982,152
R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,154/3321,228/8828,1.781764852424865e-20,2.6701019002766906e-18,1.5674172010053322e-18,20643/108989/13211/51810/66125/19386/67500/67332/103468/66118/67465/193116/59013/20020/19069/192159/110809/20624/72047/445007/20382/192170/54451/20384/66354/51786/67797/218210/212880/77134/15387/238831/67285/15381/56335/71844/22380/17749/67959/94230/20826/73826/18141/67197/74351/18521/15382/245841/20462/60532/75956/19826/20630/20383/108121/76936/53817/69192/225027/225160/20641/69241/74320/66810/72124/27366/319322/20227/53319/269061/83410/76479/76938/227720/56194/229279/80744/69482/228410/11834/320632/20638/20639/66642/67996/67337/66679/68879/53317/94315/66511/70767/107701/68183/67225/13684/69207/72787/17149/230596/22608/66101/75062/68592/51796/14105/74326/231042/20492/13204/66899/231329/269113/11991/54723/76167/83701/54188/76522/53379/66373/68011/23983/66618/57905/54563/98758/68988/22185/232989/15388/20637/68981/74737/70233/233908/15568/70616/50783/27967/19656/78651/68219/71805/101943/234865/66070/15481/67958/83486/331401/19655/108062/56258,154
R-MMU-68886,M Phase,229/3321,383/8828,2.1818061482048625e-19,2.8608933118336257e-17,1.6794165746050585e-17,22145/70247/76707/108989/66977/226747/15078/226849/19386/52717/12534/52696/18541/17997/103468/380664/77605/19324/103573/78294/103554/19052/22187/83431/20877/19069/18472/22627/216965/69077/68097/22123/217232/66997/445007/15081/66156/104318/52504/14245/26443/19167/217718/19179/22367/26931/13424/15519/76044/19166/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/319182/260423/319157/319151/319181/319180/319165/319149/319156/319179/319164/319155/319148/319178/319172/319150/326620/326619/360198/218210/74470/66413/218914/67089/219072/19173/71844/71978/71175/19387/18141/52683/22143/22146/67203/26413/75296/19170/51792/16912/16913/13001/72415/64898/67052/73677/19348/52563/16906/225659/72124/70799/225745/23825/67849/16319/13006/227613/227720/66998/26920/19177/59029/70231/69482/19182/228421/12236/66296/51885/99100/17222/228769/12995/13589/66679/26444/20873/70099/16905/100043813/319176/319190/97114/15267/15077/97122/319154/51788/59021/53598/14211/214444/230376/67733/72787/73804/107995/26445/69928/19181/231042/52206/381644/269113/71782/56455/19047/434233/56317/59008/67151/56430/22190/22628/17120/100710/56150/13191/54563/320332/232440/232987/23996/57296/66411/233276/75430/101706/26440/18817/18751/74237/259279/69957/244329/19053/18536/71876/22186/76478/18747/71805/234663/320394/17463/234865/74360/78658/15270/26951/20842/28135/76499/20843/13726/320595,229
R-MMU-72172,mRNA Splicing,125/3321,178/8828,5.23876755480777e-19,6.10607462777039e-17,3.584419905921106e-17,20643/13211/51810/66125/67500/67332/67465/193116/59013/20020/192159/110809/20624/72047/20382/192170/54451/20384/66354/51786/67797/212880/77134/15387/238831/67285/15381/22380/17749/67959/94230/20826/67197/74351/18521/15382/245841/20462/75956/19826/20630/20383/108121/76936/69192/225027/20641/69241/74320/66810/27366/319322/20227/269061/83410/76479/76938/56194/229279/80744/228410/11834/320632/20638/20639/66642/67996/67337/68879/53317/94315/70767/107701/68183/67225/69207/17149/230596/22608/66101/75062/68592/51796/14105/74326/13204/66899/231329/11991/54723/76167/83701/54188/76522/53379/66373/68011/23983/66618/57905/98758/68988/22185/232989/15388/20637/68981/74737/70233/233908/15568/70616/50783/27967/19656/78651/68219/101943/66070/15481/67958/83486/19655/108062/56258,125
R-MMU-212165,Epigenetic regulation of gene expression,88/3321,112/8828,6.399278495126416e-19,6.712843141387611e-17,3.940608336472583e-17,15078/21339/56200/21665/77605/52615/15081/13435/21340/28071/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/319182/260423/319157/319151/319181/319180/319165/319149/319156/319179/319164/319155/319148/319178/319172/319150/326620/326619/360198/16468/110052/319955/17749/328572/245841/56637/21374/21652/66136/18519/17191/319176/319190/97114/15267/15077/97122/319154/51788/64424/19646/17765/22385/11461/14056/20019/320332/232440/11569/70333/13626/101867/93762/21341/13433/15270,88
